address,amounts
0xe0B9Ee098b0b1De9761e76c51839f6B34B2D11BD,275
0x098862510c748EF43Ac9b563c2492055a74AF169,275
0x4FcE91cd6877a1E2bCe0546A2e7Db6795A6e76ef,275
0x590Cb961aff1c2FA489467e81AF2Bb08b802A402,275
0x52d0Fc347560cC997f87984200F4a9344eCDC597,275
0x7c5DccAEE1e2f103585acfBF72dE8E19592c091C,3550
0x417315cEed17C035d82E06942974b6965Eb80091,275
0x2fbFB350baE9B876b9671C59B54fB0eA86754AEB,275
0xA5135394D563e323e83b5c1b097acDD7A053b40C,275
0x99A522716057659b43dfCa253Ba374A862D310F1,275
0xD96dc5aa1bd40f6D41f99AC0e145535523aa84Da,275
0x28B460E553cE81eA5ea5407eCe30bBA3903Af23d,3275
0xf7a13589d121aee4a8404a03923d0ba37599928f,950
0xfe423Df83bF7C1B64352a3F586c21895b52C43d2,275
0x966eDB5CBE2027DABb9E9C19b4c4811df2EA19b0,275
0xe08af6154Cc34547c70922dd15358eEA4F6b91F3,275
0xBF5dd50eCCE6104a6f9587EF17237AA22A1bDfDb,275
0x577975a52D0DC2D46625182F899Da67B39FefdF2,275
0xCd66d03A9a769599F22e811ac8cAFC4AB08961EC,550
0x441a61cA9863dA5Dc7d86f4aB68AcC18b6560b15,275
0x09A48427a3063CD57D00C2C62f78b08Aee654755,550
0x615d5bA85AA09c408501E1519bf18a0e72092C86,275
0x8eeFAe59353a1787a62e8db7C9679D974eBDDF14,275
0xbc57B338d28FE76A06fc9879a69477EDAE192a0F,6550
0x62dB1661AD765167ab28a2BDaEf785F049ac9498,275
0x1Bc9B2BD6073b65ed19a49EEf8f4ec50bD584B87,275
0x5C741325d0e37b9fEeF9E0E5EDb09f5dB9e5264d,1800
0x9dC9597A419Bb3D7c727f57a53a45c39937ee61F,275
0x4296afE4799f62f83Ef00dB325d4B18b0AC182bF,550
0x329f4435E0F22899b733756c71AA12C1004146B1,3550
0x2211DEaE839844F79d68B384B01FE03E40C5e655,2050
0xC1Ef2bdBAfe7A24964873EdDb50753a783a060B7,275
0x066fb187404FEeE6EE7f6cde21697cea1A89ec23,950
0xffd6334C0a068A752cB62798FECaD141ed56E3Fa,550
0x4124942B468473552C44011655Bb4fA8Ab5E9840,275
0x09F213953D92F865b949B3E39b9dcFaE687d4966,2000
0x8e80711e175337f258Fe0723d29E5fa5B57DB026,550
0x7247345A0113da9B22bee90322875C1b3D9b9472,275
0x8377033Ab96d71Ca34a9C1090889c7F1ee39B979,550
0x03B366073dDa2EC30419819dF45C43a71b05dfb8,275
0x9362FB8241d1E21429FbB77b2E9E20A748C772d0,3275
0x363c3116D796ED45871f2855111cAfA44788ba0B,550
0xAA4e9Ca01011Ea77a70560633dc8A10B147367Ca,275
0xc303b2AE6360AF9cDce75F87D57eE8F7BA42D717,275
0x7219738D11bA72C0D3343753E7A7884aE5f45f33,26275
0x89dF444934B3080C853b4099923D94E3a560b811,275
0x7a52F357732Da1265067120d3De0795bE1EE1Bc7,275
0x1cb3F7f26A333aE16Ec2ba3996BFA5E1ec35192d,275
0xf85974BfC38A7ADB4e4980b4B49972f94bc3867e,275
0x75FB57291D1C90398ED85d37De829F06aAcc7587,275
0xD69aA223A1867C8C66a951F4f73c8105011b28bb,275
0x4Bcf75211f31be86AA1a8C5Daf41c009fEae9303,275
0x7a751f597b0dcbe6025e05f25148fd00391ca7a5,275
0x6A45Dd711658F0DcE4d8EA6C595E5c0f2efD2e61,275
0xC2933176a9be2116721A2681e042111Ad22F8266,275
0x2BF6714F171AD3F051240c24336b8Aeea5a4880F,275
0x0114731DEa1bDC4994B8Ca845B0fFCaed7d9a4d8,275
0x82CA3AB63205b404D6A4116e9C2875814E6B0D9f,550
0x5e2c20CEe241F76D471fF2e1ec014A3BF76b399C,275
0xF9A409C25E1cC70aC072F50CD7A0122ac230e045,275
0xb7c2FC9d44db04Ff888037037aaDfD10D7564d95,275
0xBaF6f2FE0A5450Df724c47e340bB38e9507A9D4e,275
0x250027FeFEcBAA1d0a77D9a8ec934cbED9012690,550
0xDC922b6B33Ce36B02C44f3B09cf7EA6b613Ac939,3550
0x313FDA29134Cfbba6682dFEbA13778a871aA588a,3950
